sexo,altura,peso
M,176.23,90.65
M,187.24,101.39
M,176.41,99.46
M,179.8,95.81
M,182.29,91.08
M,176.13,94.72
M,165.83,73.22
M,180.14,94.27
M,174.24,82.02
M,174.25,80.2
M,176.48,88.27
M,167.46,73.94
M,174.05,78.6
M,187.78,97.8
M,180.84,95.32
M,169.05,83.93
M,182.23,85.26
M,177.15,85.36
M,169.55,81.44
M,177.02,96.03
M,178.82,89.67
M,175.31,84.5
M,164.42,75.35
M,180.34,85.64
M,163.73,73.2
M,177.16,87.76
M,181.68,85.86
M,173.55,94.25
M,179.74,90.41
M,181.4,95.19
M,176.25,81.73
M,182.88,89.0
M,175.75,85.93
M,168.06,75.08
M,170.87,82.73
M,180.13,85.98
M,175.56,86.01
M,171.22,77.2
M,185.26,98.02
M,179.05,80.32
M,175.28,88.93
M,169.58,76.07
M,175.57,81.47
M,185.74,100.09
M,171.42,74.52
M,164.99,71.01
M,172.17,83.32
M,171.86,77.25
M,168.85,76.49
M,185.39,95.09
M,176.69,88.61
M,180.35,88.14
M,177.59,99.5
M,182.11,93.06
M,171.83,81.14
M,173.47,82.43
M,174.47,92.33
M,175.05,74.91
M,175.16,89.78
M,170.81,78.6
M,175.05,83.44
M,167.23,63.29
M,164.26,72.66
M,168.39,74.21
M,170.43,87.98
M,170.18,86.14
M,180.24,83.56
M,173.79,86.54
M,171.84,85.37
M,192.08,102.61
M,179.2,89.76
M,174.98,86.42
M,173.44,79.94
M,165.09,80.62
M,166.56,78.79
M,176.04,95.47
M,166.89,77.16
M,172.22,78.68
M,175.81,83.89
M,172.76,88.13
M,157.29,67.65
M,170.86,87.3
M,171.9,81.53
M,177.73,92.02
M,165.9,74.1
M,182.64,98.44
M,168.23,83.08
M,167.17,75.56
M,185.03,93.1
M,180.21,86.05
M,181.21,99.15
M,180.48,92.14
M,157.29,63.46
M,174.66,89.04
M,171.66,81.62
M,171.1,74.46
M,167.33,76.28
M,174.48,86.07
M,176.62,88.53
M,169.25,86.4
M,177.32,92.73
M,174.45,88.97
M,181.9,95.11
M,177.01,86.61
M,180.09,89.79
M,172.73,84.72
M,179.36,85.58
M,181.79,80.0
M,185.45,94.95
M,154.3,61.77
M,175.47,86.61
M,176.12,86.84
M,172.1,83.89
M,193.11,105.38
M,183.46,91.53
M,175.06,85.43
M,165.95,79.22
M,167.47,83.44
M,178.99,85.06
M,185.88,97.0
M,174.12,79.48
M,174.06,76.91
M,161.53,65.59
M,170.55,79.69
M,179.87,89.45
M,186.77,101.12
M,168.0,75.03
M,172.48,77.3
M,181.44,98.26
M,170.47,78.79
M,186.14,98.84
M,161.73,73.04
M,175.83,87.89
M,176.96,80.34
M,179.03,92.91
M,175.27,80.17
M,173.88,87.44
M,167.7,75.73
M,176.07,84.7
M,175.46,85.51
M,186.85,94.51
M,167.86,73.25
M,186.76,97.51
M,176.98,93.05
M,169.36,83.1
M,185.32,94.75
M,173.35,94.31
M,182.77,95.56
M,180.49,92.66
M,170.12,88.54
M,173.93,86.49
M,181.06,90.55
M,165.05,75.67
M,169.58,81.1
M,174.67,84.27
M,175.24,87.89
M,181.09,103.78
M,175.39,87.25
M,169.02,79.83
M,174.03,79.9
M,171.35,80.51
M,181.25,91.52
M,174.22,80.22
M,177.13,84.15
M,177.38,85.29
M,183.92,85.9
M,166.2,75.34
M,168.32,77.22
M,177.73,96.53
M,180.87,88.97
M,177.64,91.75
M,181.32,91.32
M,164.06,71.87
M,174.73,79.15
M,173.85,83.36
M,175.77,85.32
M,176.34,79.92
M,176.8,88.09
M,185.12,88.09
M,157.93,66.18
M,174.94,87.02
M,180.54,95.19
M,183.34,91.29
M,183.04,94.7
M,171.15,82.86
M,172.55,75.49
M,179.84,87.72
M,166.49,80.94
M,178.29,93.41
M,182.32,90.36
M,173.05,87.1
M,173.63,79.5
M,167.87,77.11
M,181.81,93.15
M,186.78,88.92
M,180.63,94.41
M,179.82,92.03
M,182.19,85.55
M,160.52,73.68
M,172.98,82.94
M,167.27,71.36
M,173.6,81.05
M,176.68,84.92
M,174.57,77.85
M,178.2,90.96
M,175.07,87.96
M,163.32,70.53
M,178.96,87.33
M,174.31,72.51
M,176.95,79.95
M,175.41,77.89
M,170.76,82.42
M,167.93,77.74
M,174.29,81.25
M,175.89,85.04
M,176.89,82.56
M,184.9,97.28
M,190.61,94.59
M,180.27,86.28
M,188.95,98.5
M,163.48,70.79
M,181.17,93.62
M,170.62,80.81
M,188.98,103.8
M,162.22,79.14
M,174.97,74.49
M,183.22,96.23
M,173.75,93.45
M,165.34,75.95
M,175.84,88.55
M,182.75,94.88
M,171.36,82.69
M,176.05,86.27
M,161.88,72.73
M,154.13,58.65
M,179.48,88.74
M,171.69,84.71
M,189.61,103.19
M,178.99,89.44
M,182.74,95.05
M,188.03,95.15
M,179.79,99.99
M,164.41,76.75
M,173.69,84.3
M,181.53,87.4
M,170.04,80.3
M,179.82,90.7
M,165.84,76.53
M,156.86,56.03
M,158.7,72.69
M,172.23,89.4
M,176.6,73.47
M,184.15,91.47
M,179.03,88.35
M,169.39,73.74
M,181.08,79.75
M,182.36,94.97
M,185.56,92.74
M,174.89,95.65
M,167.76,76.81
M,187.92,101.3
M,175.9,87.52
M,176.13,78.43
M,180.28,86.9
M,161.45,71.27
M,177.22,82.92
M,165.58,68.9
M,177.75,87.7
M,177.17,84.11
M,180.78,88.62
M,179.25,79.02
M,166.75,74.68
M,170.53,74.32
M,167.43,79.25
M,187.42,96.57
M,172.05,78.38
M,166.48,78.01
M,180.88,88.87
M,166.6,79.3
M,166.8,79.18
M,157.41,63.63
M,187.71,97.78
M,183.75,97.91
M,178.59,83.57
M,170.47,76.3
M,167.47,68.67
M,170.76,84.36
M,178.09,92.19
M,190.1,101.58
M,163.9,67.35
M,177.93,93.98
M,182.46,93.07
M,185.01,94.99
M,186.19,90.34
M,168.64,74.87
M,168.95,81.99
M,175.95,91.76
M,173.31,88.57
M,178.85,83.57
M,177.11,85.48
M,166.4,71.31
M,175.61,89.16
M,187.11,94.51
M,167.37,71.75
M,173.62,83.73
M,178.88,89.77
M,183.08,92.02
M,182.15,90.3
M,166.95,70.86
M,162.3,76.34
M,178.6,91.4
M,167.1,79.19
M,177.36,89.33
M,173.56,89.7
M,172.06,75.14
M,190.59,105.64
M,186.45,87.42
M,176.67,87.17
M,163.93,71.27
M,171.57,74.16
M,185.67,93.06
M,169.05,77.76
M,187.94,94.79
M,179.99,95.15
M,181.78,93.56
M,167.23,80.38
M,178.5,96.03
M,156.9,67.82
M,190.06,99.94
M,181.88,87.28
M,170.84,74.11
M,180.15,90.62
M,190.65,99.15
M,185.68,101.25
M,179.48,98.86
M,170.55,77.66
M,170.49,66.92
M,176.59,77.13
M,165.67,72.95
M,173.76,83.97
M,174.66,80.32
M,172.56,85.68
M,175.86,72.23
M,173.9,85.31
M,166.86,68.48
M,176.35,78.17
M,167.98,75.46
M,180.03,84.52
M,167.57,85.12
M,164.95,74.34
M,173.66,89.34
M,176.59,86.05
M,168.8,85.72
M,176.47,80.44
M,174.57,83.52
M,187.4,100.35
M,194.31,98.83
M,180.91,90.35
M,163.85,74.62
M,168.92,74.06
M,175.79,85.11
M,161.41,68.2
M,177.12,91.95
M,174.26,82.43
M,181.52,93.71
M,176.55,92.53
M,187.35,105.06
M,173.43,88.54
M,184.03,90.85
M,179.75,88.61
M,178.95,85.32
M,175.02,88.3
M,175.87,89.55
M,170.89,70.95
M,181.52,94.24
M,174.86,77.98
M,181.37,98.4
M,178.17,86.45
M,179.53,93.5
M,174.09,91.22
M,181.44,93.71
M,165.66,72.12
M,179.76,94.45
M,177.19,85.19
M,162.46,76.36
M,178.57,89.28
M,178.6,93.22
M,171.21,74.65
M,170.49,75.84
M,173.68,76.66
M,176.73,83.56
M,158.83,76.27
M,176.12,83.52
M,169.64,78.1
M,191.49,99.16
M,178.34,86.03
M,180.6,89.25
M,177.28,82.43
M,168.84,79.56
M,179.61,94.67
M,161.59,73.79
M,179.2,86.78
M,171.2,87.4
M,181.45,96.77
M,174.23,85.01
M,181.49,92.28
M,179.57,86.18
M,181.33,89.5
M,179.03,87.71
M,189.0,102.83
M,161.04,84.0
M,173.74,77.71
M,171.27,79.44
M,179.86,89.01
M,170.46,88.34
M,172.03,83.67
M,174.12,81.45
M,174.29,87.37
M,179.34,89.51
M,170.4,74.47
M,165.89,75.9
M,177.61,84.31
M,173.65,87.99
M,180.01,93.38
M,193.07,106.79
M,172.63,80.27
M,177.2,90.28
M,176.7,91.04
M,181.76,97.06
M,180.23,91.47
M,166.22,65.38
M,180.28,91.9
M,172.7,83.44
M,179.12,90.52
M,175.54,79.85
M,181.88,88.42
M,177.52,92.32
M,168.8,75.61
M,178.54,94.13
M,159.05,69.33
M,169.22,66.33
M,165.99,71.11
M,181.88,95.24
M,176.31,83.42
M,177.53,91.08
M,166.79,74.49
M,163.6,70.14
M,174.31,85.93
M,176.78,80.1
M,171.33,78.6
M,173.15,84.03
M,176.67,92.45
M,167.0,82.58
M,185.73,91.49
M,169.22,80.67
M,175.63,91.91
M,167.55,84.47
M,170.7,84.12
M,166.25,79.76
M,185.5,95.07
M,173.53,81.36
M,168.49,75.01
M,183.8,89.93
M,172.0,83.88
M,179.01,90.83
M,180.75,90.47
M,176.16,91.78
M,178.05,91.62
M,176.02,89.52
M,160.81,71.22
M,172.43,83.16
M,185.94,92.09
M,185.78,87.96
M,180.08,88.72
M,183.24,97.46
M,183.22,83.53
M,180.86,87.88
M,168.28,77.16
M,183.75,93.3
M,172.9,75.42
M,181.35,90.0
M,166.94,76.96
M,170.46,72.6
M,183.43,92.96
M,160.04,67.09
M,176.71,82.08
M,178.83,98.81
M,172.8,85.89
M,177.24,79.87
M,157.68,59.09
M,167.22,72.27
M,179.78,87.08
M,176.71,82.62
M,171.01,85.44
M,172.25,86.98
M,169.37,73.83
M,176.88,89.63
M,164.53,82.82
M,187.87,90.72
M,172.55,83.65
M,169.6,75.07
M,175.1,80.13
M,194.14,103.82
M,175.25,81.81
M,186.69,102.5
M,176.79,86.1
M,183.05,91.75
M,179.04,81.16
M,170.27,75.77
M,168.11,78.31
M,174.48,81.63
M,169.3,72.64
M,177.39,80.92
M,168.26,70.12
M,184.94,94.73
M,163.77,76.85
M,177.18,82.39
M,179.48,92.46
M,184.08,83.66
M,173.16,90.58
M,185.39,93.73
M,179.16,89.17
M,177.92,86.18
M,175.3,89.25
M,186.81,100.83
M,173.02,81.68
M,173.45,80.94
M,181.68,91.97
M,186.43,100.22
M,177.41,90.1
M,178.19,92.41
M,168.4,68.11
M,194.29,103.03
M,180.42,84.71
M,169.24,77.3
M,167.83,82.75
M,179.36,85.04
M,165.62,71.97
M,169.83,79.74
M,187.35,100.14
M,177.54,88.8
M,176.6,85.74
M,169.53,69.91
M,175.45,81.37
M,174.15,78.11
M,178.62,86.39
M,182.75,94.39
M,180.13,87.04
M,178.74,89.53
M,172.2,86.04
M,174.5,94.38
M,175.55,85.6
M,171.95,85.01
M,181.05,98.84
M,181.43,91.56
M,180.45,92.82
M,164.4,65.02
M,170.56,82.57
M,183.62,91.67
M,178.42,87.45
M,163.72,72.08
M,189.14,96.83
M,165.86,73.85
M,184.78,96.24
M,166.92,70.39
M,174.98,88.31
M,185.52,95.02
M,177.45,89.96
M,177.45,81.49
M,182.28,87.4
M,169.72,81.56
M,172.18,86.41
M,175.9,88.97
M,175.08,82.02
M,175.25,84.66
M,168.59,76.11
M,168.6,81.41
M,175.4,82.26
M,166.8,73.22
M,159.39,67.93
M,169.11,73.12
M,170.87,84.99
M,177.38,79.84
M,188.51,108.21
M,180.93,94.82
M,179.74,88.36
M,172.41,74.26
M,170.47,82.79
M,169.01,79.42
M,170.41,82.05
M,174.99,78.32
M,182.58,94.16
M,179.15,88.0
M,175.79,85.22
M,169.81,73.13
M,195.99,103.74
M,173.22,80.04
M,169.66,84.82
M,188.14,99.08
M,177.02,83.74
M,179.03,90.43
M,168.16,74.68
M,182.52,87.74
M,167.58,77.6
M,184.6,98.69
M,177.32,85.31
M,175.37,80.82
M,162.18,68.95
M,164.87,65.85
M,165.22,66.98
M,174.94,83.21
M,177.75,80.9
M,159.28,69.32
M,169.99,78.76
M,170.86,81.66
M,183.19,90.87
M,176.81,77.25
M,165.57,75.63
M,188.16,88.35
M,155.25,69.31
M,173.54,93.63
M,162.44,74.74
M,174.2,82.18
M,164.91,83.92
M,176.94,95.04
M,180.65,89.52
M,159.52,67.41
M,179.86,91.27
M,176.66,90.35
M,170.26,85.48
M,171.19,80.88
M,176.2,78.67
M,189.34,99.08
M,169.05,78.65
M,170.84,84.51
M,167.64,74.92
M,170.9,92.14
M,172.53,73.33
M,167.79,74.6
M,167.25,77.47
M,175.34,77.25
M,178.63,87.32
M,169.0,75.47
M,181.54,89.15
M,177.92,83.29
M,174.26,84.95
M,175.22,80.87
M,187.42,100.88
M,175.44,86.45
M,185.9,92.58
M,174.44,87.18
M,164.9,81.38
M,167.92,87.44
M,172.08,76.99
M,182.41,87.46
M,175.76,84.25
M,171.21,85.55
M,177.49,81.5
M,163.49,73.71
M,171.43,83.18
M,185.73,100.45
M,171.84,85.68
M,174.09,87.01
M,179.64,97.19
M,173.3,82.73
M,171.95,74.36
M,187.24,90.02
M,174.9,85.0
M,168.84,79.81
M,177.73,85.56
M,171.59,91.07
M,188.65,95.23
M,183.12,91.56
M,176.71,82.92
M,181.9,93.52
M,170.53,77.96
M,173.78,77.71
M,198.36,115.98
M,174.35,81.11
M,177.87,84.53
M,188.79,100.17
M,183.47,91.69
M,171.87,87.58
M,168.72,71.35
M,165.28,81.99
M,175.66,93.67
M,172.23,81.65
M,173.33,87.99
M,184.27,92.36
M,188.1,96.04
M,186.02,91.22
M,185.01,96.26
M,173.41,76.16
M,177.98,93.93
M,182.22,84.3
M,174.43,78.4
M,178.26,83.79
M,170.04,82.72
M,171.9,85.42
M,172.48,76.51
M,170.69,78.69
M,170.17,80.77
M,167.72,78.95
M,172.25,87.12
M,181.48,86.72
M,178.0,86.0
M,187.25,95.36
M,168.63,72.29
M,173.22,86.13
M,173.42,79.91
M,167.49,80.42
M,169.85,77.26
M,168.14,75.27
M,186.19,105.35
M,175.98,93.84
M,182.3,90.88
M,161.64,74.05
M,183.29,85.69
M,182.89,94.14
M,173.14,78.68
M,175.48,86.12
M,170.66,77.06
M,161.58,72.93
M,182.17,95.71
M,179.01,87.93
M,185.08,98.58
M,173.13,80.17
M,176.99,92.22
M,160.02,75.1
M,182.27,96.04
M,181.94,91.4
M,180.5,91.03
M,178.09,85.97
M,178.94,93.67
M,174.1,78.61
M,181.19,100.3
M,170.64,77.03
M,185.69,99.69
M,180.05,82.96
M,182.65,89.85
M,186.87,98.26
M,177.3,92.2
M,179.39,84.03
M,168.44,67.25
M,178.48,87.23
M,180.29,93.68
M,178.6,82.46
M,181.64,96.49
M,180.34,88.89
M,169.41,70.37
M,184.55,94.12
M,168.94,82.53
M,169.11,74.44
M,169.48,84.06
M,176.01,80.82
M,173.54,80.93
M,167.13,73.5
M,178.11,98.62
M,175.42,86.1
M,180.11,89.46
M,169.56,80.91
M,174.22,80.76
M,180.27,83.91
M,160.47,69.68
M,177.55,100.65
M,172.04,79.64
M,180.58,90.19
M,178.11,85.86
M,167.1,75.42
M,181.63,91.86
M,182.16,99.92
M,181.49,96.77
M,176.24,77.72
M,178.18,86.89
M,183.16,91.04
M,181.92,94.69
M,175.79,78.37
M,180.61,85.66
M,170.35,85.08
M,193.04,101.81
M,172.69,77.24
M,176.23,89.49
M,181.42,88.62
M,179.0,90.0
M,182.52,89.06
M,184.7,88.61
M,185.22,97.04
M,182.27,91.32
M,189.66,103.18
M,171.0,71.23
M,179.21,87.21
M,165.56,76.87
M,177.12,89.65
M,182.25,97.95
M,175.18,78.6
M,165.2,73.94
M,177.85,94.62
M,180.43,91.64
M,185.09,104.21
M,182.68,91.9
M,187.88,102.98
M,166.79,75.5
M,179.98,84.87
M,173.12,82.12
M,170.63,79.54
M,179.98,89.69
M,162.08,75.51
M,170.05,75.5
M,178.51,84.94
M,178.62,84.4
M,179.24,93.01
M,176.01,85.94
M,188.95,95.32
M,169.91,84.46
M,187.0,93.66
M,175.49,85.83
M,171.56,76.55
M,159.82,65.4
M,174.88,85.09
M,176.81,87.83
M,176.57,84.07
M,175.53,85.39
M,169.73,75.37
M,180.62,91.79
M,172.11,86.88
M,169.06,73.49
M,170.44,79.81
M,176.74,87.71
M,183.59,87.4
M,175.79,84.45
M,175.33,89.82
M,166.21,76.08
M,173.9,90.72
M,182.79,90.71
M,187.35,98.53
M,179.15,88.13
M,175.29,86.42
M,186.97,107.4
M,173.97,82.2
M,162.79,68.78
M,172.65,77.44
M,179.92,89.53
M,181.98,90.85
M,170.97,71.87
M,173.34,84.56
M,166.31,75.59
M,179.61,92.88
M,170.63,79.19
M,172.08,81.01
M,173.88,84.09
M,183.64,88.33
M,166.12,72.4
M,166.73,73.79
M,176.38,81.71
M,172.72,77.98
M,182.1,87.05
M,186.95,99.57
M,170.88,79.97
M,183.2,97.72
M,174.28,88.05
M,165.68,75.8
M,168.47,75.33
M,178.0,98.26
M,169.26,77.69
M,185.35,92.76
M,189.89,95.13
M,167.25,85.07
M,169.17,73.74
M,173.32,83.59
M,176.89,86.8
M,165.74,70.77
M,169.12,82.2
M,173.37,91.57
M,175.28,77.19
M,177.96,87.11
M,180.56,80.98
M,180.6,84.29
M,174.09,81.95
M,175.31,80.72
M,169.9,85.09
M,174.97,89.65
M,173.66,88.51
M,168.17,82.98
M,164.3,71.22
M,172.7,78.25
M,164.43,68.06
M,178.0,92.15
M,168.83,74.53
M,183.32,84.45
M,164.05,71.84
M,188.98,101.53
M,181.07,86.22
M,166.06,71.7
M,172.89,77.56
M,164.34,70.61
M,176.77,86.88
M,183.96,103.86
M,169.49,74.8
M,174.43,80.82
M,176.69,90.49
M,184.84,95.78
M,176.47,92.09
M,176.33,84.08
M,167.15,67.7
M,182.07,97.19
M,168.53,72.74
M,168.83,81.86
M,179.01,89.37
M,172.98,84.46
M,167.21,75.11
M,175.76,91.31
M,185.12,91.32
M,172.16,86.51
M,177.87,87.58
M,181.23,96.76
M,181.52,95.24
M,175.8,82.2
M,172.81,77.41
M,182.8,104.11
M,181.2,90.6
M,183.88,91.36
M,153.32,60.85
M,178.98,86.01
M,182.15,87.59
M,179.18,84.13
M,185.73,93.85
M,157.64,79.41
M,175.46,80.09
M,181.64,94.97
M,179.29,93.31
M,165.18,70.24
M,172.51,89.11
M,174.98,79.92
M,179.6,90.16
M,164.03,68.12
M,180.25,81.3
M,174.74,84.85
M,166.15,64.68
M,165.62,74.22
M,177.63,84.11
M,169.93,76.6
M,170.83,74.96
M,174.01,74.62
M,172.1,84.41
M,168.63,75.07
M,178.33,87.98
M,174.5,87.78
M,179.76,92.73
M,190.39,100.32
M,168.55,78.63
M,167.83,77.7
M,169.77,77.15
M,183.3,92.8
M,173.37,86.36
M,176.39,81.05
M,178.9,86.14
M,183.87,90.53
M,175.84,84.33
M,170.45,75.01
M,178.67,80.5
M,183.86,85.8
M,179.28,93.63
M,171.2,90.57
M,186.53,102.62
M,170.69,79.13
M,188.04,97.66
M,175.01,79.58
M,162.24,76.24
M,172.91,84.16
M,172.15,81.59
M,176.58,86.01
M,173.74,82.67
M,174.96,82.33
M,177.21,88.27
M,166.92,79.11
M,168.22,82.06
M,159.44,74.02
M,170.51,80.61
M,177.54,82.3
M,171.93,80.7
M,176.8,86.65
M,177.04,80.35
M,171.29,72.49
M,173.08,85.34
M,179.05,94.7
M,180.3,87.14
M,180.96,99.91
M,173.95,84.56
M,175.99,89.45
M,164.09,63.59
M,174.5,81.75
M,173.46,79.84
M,166.91,76.13
M,172.33,69.41
M,171.22,73.86
M,167.89,74.23
M,171.74,86.37
M,168.27,86.93
M,172.03,79.47
M,175.37,83.48
M,199.29,103.12
M,179.37,89.99
M,178.83,87.93
M,172.39,80.24
M,179.96,84.07
M,172.47,87.39
M,189.8,94.03
M,173.69,81.27
M,192.41,102.74
M,180.41,84.47
M,179.71,91.96
M,193.79,105.92
M,176.79,87.14
M,176.7,88.44
M,176.73,88.97
M,167.2,71.49
M,172.2,83.85
M,173.71,81.35
M,164.9,71.86
M,173.85,82.76
M,184.59,93.89
M,167.78,73.28
M,155.73,68.18
M,173.42,72.57
M,191.17,101.36
M,168.83,82.77
M,168.97,81.3
M,172.09,81.25
M,182.31,95.59
M,175.25,90.86
M,173.5,84.04
M,187.87,97.54
M,174.63,88.06
M,186.88,93.99
M,170.0,76.7
M,176.15,88.53
M,170.22,83.18
M,183.03,90.75
M,172.41,79.59
M,162.42,69.83
M,167.95,78.25
M,187.49,94.74
M,164.48,73.02
M,170.22,85.72
M,180.03,88.03
M,171.23,76.49
M,170.01,79.4
M,164.29,79.87
M,171.0,76.54
M,173.48,88.25
M,187.46,103.16
M,168.29,80.05
M,171.97,80.4
M,167.27,80.75
M,182.39,95.87
M,165.97,70.64
M,172.64,87.12
M,190.89,97.24
M,161.06,73.97
M,165.36,71.06
M,172.03,74.81
M,183.67,91.59
M,176.39,89.65
M,164.79,80.19
M,170.12,85.29
M,169.95,82.55
M,173.04,79.67
M,178.79,79.86
M,179.09,93.64
M,177.21,89.73
M,173.76,80.34
M,170.93,78.97
M,173.29,79.68
M,171.54,81.77
M,188.99,100.12
M,175.26,82.53
M,173.59,85.11
M,175.27,85.43
M,164.68,74.66
M,185.58,98.0
M,181.87,95.72
